Dataset,Centrality Metric,Modularity,Average Conductance,Min Conductance,Max Conductance,Coverage,Number of Communities
Les,Girvan-Newman,0.07464039928079841,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.9881889763779528,2
Les,closeness,0.4700229400458801,0.39719050439551556,0.13043478260869565,1.0,0.7086614173228346,6
Les,betweenness,0.5493210986421974,0.25809344971557885,0.13043478260869565,0.4418604651162791,0.7677165354330708,7
Les,load,0.5493210986421974,0.25809344971557885,0.13043478260869565,0.4418604651162791,0.7677165354330708,7
Les,subgraph,0.2160626821253642,0.32046637243923326,0.17647058823529413,0.6595744680851063,0.8700787401574803,4
Les,algebraic,0.17478609957219912,0.1737629890835428,0.13043478260869565,0.21052631578947367,0.9566929133858267,3
Zachary,Girvan-Newman,0.3599605522682445,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.8717948717948718,2
Zachary,closeness,0.3814102564102564,0.36111111111111105,0.3333333333333333,0.4,0.6410256410256411,4
Zachary,betweenness,0.3952169625246548,0.34675925925925927,0.25925925925925924,0.4166666666666667,0.6666666666666666,4
Zachary,load,0.3952169625246548,0.34675925925925927,0.25925925925925924,0.4166666666666667,0.6666666666666666,4
Zachary,subgraph,0.253698224852071,0.42512820512820515,0.25,0.68,0.6538461538461539,4
Zachary,algebraic,0.16559829059829054,0.4560005742176285,0.25,0.6296296296296297,0.7307692307692307,3
